cluster,cluster_name,method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_score_drop_a,mean_score_drop_b,n_samples,n_datasets
0,High-frequency / high-curvature,tshap_centroid,tshap_train,0.2,0.3022313689985985,0.0,0.34693069265377385,0.20382415915892144,0.36455251607604156,160,8
0,High-frequency / high-curvature,tshap_centroid,tshap_zero,0.05,0.14332648548999583,0.0,0.14765563165905632,0.1999309501806022,0.14217335884247753,160,8
0,High-frequency / high-curvature,tshap_centroid,tshap_zero,0.1,0.10971064430169437,0.0,0.12943545471841705,0.1995890329661426,0.22691469417881333,160,8
0,High-frequency / high-curvature,tshap_centroid,tshap_zero,0.2,0.1472098013942795,0.0,0.18754864048930073,0.20382415915892144,0.22950339895226274,160,8
0,High-frequency / high-curvature,tshap_train,mrsqm,0.05,0.0,0.0,0.0,0.19051980770981525,0.021384107647968168,160,8
0,High-frequency / high-curvature,tshap_train,mrsqm,0.1,0.026320043363982824,0.0,0.039269540692989525,0.28968756978096166,0.05818628418824755,160,8
0,High-frequency / high-curvature,tshap_train,mrsqm,0.2,0.1341487494980724,0.0,0.17577454337899542,0.36455251607604156,0.1150556912340542,160,8
0,High-frequency / high-curvature,tshap_zero,mrsqm,0.05,0.0,0.0,0.0,0.14217335884247753,0.021384107647968168,160,8
0,High-frequency / high-curvature,tshap_zero,mrsqm,0.1,0.01954793261409959,0.0,0.03283267302354732,0.22691469417881333,0.05818628418824755,160,8
0,High-frequency / high-curvature,tshap_zero,mrsqm,0.2,0.14196235403123494,0.0,0.20014981757543202,0.22950339895226274,0.1150556912340542,160,8
0,High-frequency / high-curvature,tshap_zero,tshap_train,0.05,0.19713546067578022,0.0,0.2218405192600398,0.14217335884247753,0.19051980770981525,160,8
0,High-frequency / high-curvature,tshap_zero,tshap_train,0.1,0.22821305992319846,0.0,0.25515433342286686,0.22691469417881333,0.28968756978096166,160,8
0,High-frequency / high-curvature,tshap_zero,tshap_train,0.2,0.2776605782745421,0.0,0.3218922813703107,0.22950339895226274,0.36455251607604156,160,8
1,Smooth / low-complexity,feature_ablation,mrsqm,0.05,0.04,0.0,0.04,0.2557839568203311,0.15470964750919697,200,10
1,Smooth / low-complexity,feature_ablation,mrsqm,0.1,0.06736099865047233,0.0,0.08384186046511628,0.328322699849284,0.1873728852572806,200,10
1,Smooth / low-complexity,feature_ablation,mrsqm,0.2,0.14264543337436725,0.0,0.16805225403944568,0.46855699285009883,0.28097301664360397,200,10
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.05,0.08487772730772386,0.0,0.10689929823657446,0.2557839568203311,0.3249330829415774,200,10
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.1,0.17475900920602758,0.0,0.21638559761003934,0.328322699849284,0.44674344582347003,200,10
1,Smooth / low-complexity,feature_ablation,tshap_centroid,0.2,0.30471460084444074,0.14693261816962785,0.3714655660458194,0.46855699285009883,0.580335149461666,200,10
1,Smooth / low-complexity,feature_ablation,tshap_train,0.05,0.07110211222072761,0.0,0.087053157662173,0.2557839568203311,0.35428686435183865,200,10
1,Smooth / low-complexity,feature_ablation,tshap_train,0.1,0.13851774971712735,0.0,0.17683326861042528,0.328322699849284,0.5058412399568004,200,10
1,Smooth / low-complexity,feature_ablation,tshap_train,0.2,0.26980349769242784,0.10719250749981704,0.3391669359860778,0.46855699285009883,0.6255655245696016,200,10
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.05,0.07352869697988339,0.0,0.0917736635345331,0.2557839568203311,0.21572643074031142,200,10
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.1,0.1489776193536565,0.0,0.1815252517531287,0.328322699849284,0.3028970865571525,200,10
1,Smooth / low-complexity,feature_ablation,tshap_zero,0.2,0.18902305378887377,0.0,0.23572771065112522,0.46855699285009883,0.4243164893786726,200,10
1,Smooth / low-complexity,hydra,feature_ablation,0.05,0.07175986632329506,0.0,0.0912913392376308,0.25494438347547577,0.2557839568203311,200,10
1,Smooth / low-complexity,hydra,feature_ablation,0.1,0.137433148851553,0.0,0.1683330952316425,0.3594225822680501,0.328322699849284,200,10
1,Smooth / low-complexity,hydra,feature_ablation,0.2,0.20660342235605175,0.01275639402380345,0.2651537710702942,0.5070148449227279,0.46855699285009883,200,10
1,Smooth / low-complexity,hydra,mrsqm,0.05,0.01640595238095238,0.0,0.02133459414981154,0.25494438347547577,0.15470964750919697,200,10
1,Smooth / low-complexity,hydra,mrsqm,0.1,0.051230009346939276,0.0,0.06505610969025291,0.3594225822680501,0.1873728852572806,200,10
1,Smooth / low-complexity,hydra,mrsqm,0.2,0.16645443313634203,0.0,0.1896560603335023,0.5070148449227279,0.28097301664360397,200,10
1,Smooth / low-complexity,hydra,shapley_sampling,0.05,0.08981706508776406,0.0,0.10722544122544121,0.25494438347547577,0.20477401247093002,200,10
1,Smooth / low-complexity,hydra,shapley_sampling,0.1,0.13988571113758486,0.0,0.17471058492369715,0.3594225822680501,0.32836488669281017,200,10
1,Smooth / low-complexity,hydra,shapley_sampling,0.2,0.20500795737322977,0.0,0.25747429466770255,0.5070148449227279,0.4252878416108689,200,10
1,Smooth / low-complexity,hydra,tshap_centroid,0.05,0.0793826676390871,0.0,0.09721564078149755,0.25494438347547577,0.3249330829415774,200,10
1,Smooth / low-complexity,hydra,tshap_centroid,0.1,0.1339255043546501,0.0,0.1648984751089454,0.3594225822680501,0.44674344582347003,200,10
1,Smooth / low-complexity,hydra,tshap_centroid,0.2,0.23692305178663936,0.11200716845878135,0.30229958302882687,0.5070148449227279,0.580335149461666,200,10
1,Smooth / low-complexity,hydra,tshap_train,0.05,0.11887064370015826,0.0,0.15197525524347774,0.25494438347547577,0.35428686435183865,200,10
1,Smooth / low-complexity,hydra,tshap_train,0.1,0.22498580894242082,0.0,0.27413125603011584,0.3594225822680501,0.5058412399568004,200,10
1,Smooth / low-complexity,hydra,tshap_train,0.2,0.3560723856475883,0.28439469680504237,0.42697913037044666,0.5070148449227279,0.6255655245696016,200,10
1,Smooth / low-complexity,hydra,tshap_zero,0.05,0.06199901104045022,0.0,0.08003023305197217,0.25494438347547577,0.21572643074031142,200,10
1,Smooth / low-complexity,hydra,tshap_zero,0.1,0.1300165536205893,0.0,0.16329815655135935,0.3594225822680501,0.3028970865571525,200,10
1,Smooth / low-complexity,hydra,tshap_zero,0.2,0.23913292325818777,0.0425425841296219,0.2963488778028004,0.5070148449227279,0.4243164893786726,200,10
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.05,0.33922222222222226,0.0,0.34,0.20477401247093002,0.2557839568203311,200,10
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.1,0.30101953390812086,0.0,0.3249666666666667,0.32836488669281017,0.328322699849284,200,10
1,Smooth / low-complexity,shapley_sampling,feature_ablation,0.2,0.41034637558909437,0.3309523809523809,0.4585077859175036,0.4252878416108689,0.46855699285009883,200,10
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.05,0.16,0.0,0.16,0.20477401247093002,0.15470964750919697,200,10
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.1,0.17099038461538463,0.0,0.17710852713178293,0.32836488669281017,0.1873728852572806,200,10
1,Smooth / low-complexity,shapley_sampling,mrsqm,0.2,0.24443870186739086,0.0,0.267388567232266,0.4252878416108689,0.28097301664360397,200,10
1,Smooth / low-complexity,shapley_sampling,tshap_centroid,0.05,0.08290108520473675,0.0,0.10250548552754435,0.20477401247093002,0.3249330829415774,200,10
